,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
Maharashtra,Cereals,Wheat,05-06-2021,1984.00,Metric Tonnes,1864.68,Rs./Quintal
Maharashtra,Cereals,Wheat,06-06-2021,102.00,Metric Tonnes,1719.58,Rs./Quintal
Maharashtra,Cereals,Wheat,07-06-2021,1259.00,Metric Tonnes,1859.75,Rs./Quintal
Maharashtra,Cereals,Wheat,08-06-2021,2157.00,Metric Tonnes,2575.72,Rs./Quintal
Maharashtra,Cereals,Wheat,09-06-2021,2206.00,Metric Tonnes,2446.62,Rs./Quintal
Maharashtra,Cereals,Wheat,10-06-2021,1738.00,Metric Tonnes,2374.33,Rs./Quintal
Maharashtra,Cereals,Wheat,11-06-2021,1572.00,Metric Tonnes,2277.13,Rs./Quintal
Maharashtra,Cereals,Wheat,12-06-2021,1175.00,Metric Tonnes,2541.32,Rs./Quintal
Maharashtra,Cereals,Wheat,13-06-2021,169.00,Metric Tonnes,2144.82,Rs./Quintal
Maharashtra,Cereals,Wheat,14-06-2021,2181.00,Metric Tonnes,2195.80,Rs./Quintal
Maharashtra,Cereals,Wheat,15-06-2021,2129.00,Metric Tonnes,2604.14,Rs./Quintal
Maharashtra,Cereals,Wheat,16-06-2021,1871.00,Metric Tonnes,2248.10,Rs./Quintal
Maharashtra,Cereals,Wheat,17-06-2021,2402.00,Metric Tonnes,2232.38,Rs./Quintal
Maharashtra,Cereals,Wheat,18-06-2021,1751.00,Metric Tonnes,2310.47,Rs./Quintal
Maharashtra,Cereals,Wheat,19-06-2021,1033.00,Metric Tonnes,2491.17,Rs./Quintal
Maharashtra,Cereals,Wheat,20-06-2021,134.00,Metric Tonnes,1739.13,Rs./Quintal
Maharashtra,Cereals,Wheat,21-06-2021,1913.00,Metric Tonnes,2243.82,Rs./Quintal
Maharashtra,Cereals,Wheat,22-06-2021,2095.00,Metric Tonnes,2495.19,Rs./Quintal
Maharashtra,Cereals,Wheat,23-06-2021,1664.00,Metric Tonnes,2221.13,Rs./Quintal
Maharashtra,Cereals,Wheat,24-06-2021,1584.00,Metric Tonnes,2342.95,Rs./Quintal
Maharashtra,Cereals,Wheat,25-06-2021,1355.00,Metric Tonnes,2188.57,Rs./Quintal
Maharashtra,Cereals,Wheat,26-06-2021,1448.00,Metric Tonnes,2568.52,Rs./Quintal
Maharashtra,Cereals,Wheat,27-06-2021,125.00,Metric Tonnes,2007.42,Rs./Quintal
Maharashtra,Cereals,Wheat,28-06-2021,1731.00,Metric Tonnes,2206.95,Rs./Quintal
Maharashtra,Cereals,Wheat,29-06-2021,1764.00,Metric Tonnes,2380.75,Rs./Quintal
Maharashtra,Cereals,Wheat,30-06-2021,1446.00,Metric Tonnes,2181.30,Rs./Quintal
Maharashtra,Cereals,Wheat,01-07-2021,866.00,Metric Tonnes,2440.25,Rs./Quintal
Maharashtra,Cereals,Wheat,02-07-2021,1705.00,Metric Tonnes,2340.22,Rs./Quintal
Maharashtra,Cereals,Wheat,03-07-2021,1027.00,Metric Tonnes,2635.02,Rs./Quintal
Maharashtra,Cereals,Wheat,04-07-2021,71.00,Metric Tonnes,1672.94,Rs./Quintal
Maharashtra,Cereals,Wheat,05-07-2021,1140.00,Metric Tonnes,2670.05,Rs./Quintal
Maharashtra,Cereals,Wheat,06-07-2021,1459.00,Metric Tonnes,2867.95,Rs./Quintal
Maharashtra,Cereals,Wheat,07-07-2021,1229.00,Metric Tonnes,2548.39,Rs./Quintal
Maharashtra,Cereals,Wheat,08-07-2021,1204.00,Metric Tonnes,2586.76,Rs./Quintal
Maharashtra,Cereals,Wheat,09-07-2021,954.00,Metric Tonnes,2743.15,Rs./Quintal
Maharashtra,Cereals,Wheat,10-07-2021,1094.00,Metric Tonnes,3085.57,Rs./Quintal
Maharashtra,Cereals,Wheat,11-07-2021,50.00,Metric Tonnes,1646.10,Rs./Quintal
Maharashtra,Cereals,Wheat,12-07-2021,1636.00,Metric Tonnes,2525.79,Rs./Quintal
Maharashtra,Cereals,Wheat,13-07-2021,1908.00,Metric Tonnes,2830.12,Rs./Quintal
Maharashtra,Cereals,Wheat,14-07-2021,1372.00,Metric Tonnes,2497.58,Rs./Quintal
Maharashtra,Cereals,Wheat,15-07-2021,1255.00,Metric Tonnes,2410.48,Rs./Quintal
Maharashtra,Cereals,Wheat,16-07-2021,1274.00,Metric Tonnes,1102.23,Rs./Quintal
Maharashtra,Cereals,Wheat,17-07-2021,1523.00,Metric Tonnes,2383.23,Rs./Quintal
Maharashtra,Cereals,Wheat,18-07-2021,89.00,Metric Tonnes,1907.07,Rs./Quintal
Maharashtra,Cereals,Wheat,19-07-2021,1738.00,Metric Tonnes,2288.84,Rs./Quintal
Maharashtra,Cereals,Wheat,20-07-2021,186.00,Metric Tonnes,1960.12,Rs./Quintal
Maharashtra,Cereals,Wheat,21-07-2021,707.00,Metric Tonnes,3254.65,Rs./Quintal
Maharashtra,Cereals,Wheat,22-07-2021,1649.00,Metric Tonnes,2180.97,Rs./Quintal
Maharashtra,Cereals,Wheat,23-07-2021,1502.00,Metric Tonnes,2335.58,Rs./Quintal
Maharashtra,Cereals,Wheat,24-07-2021,951.00,Metric Tonnes,2376.06,Rs./Quintal
Maharashtra,Cereals,Wheat,25-07-2021,86.00,Metric Tonnes,1660.73,Rs./Quintal
Maharashtra,Cereals,Wheat,26-07-2021,1822.00,Metric Tonnes,2191.90,Rs./Quintal
Maharashtra,Cereals,Wheat,27-07-2021,1901.00,Metric Tonnes,2481.08,Rs./Quintal
Maharashtra,Cereals,Wheat,28-07-2021,1444.00,Metric Tonnes,2258.22,Rs./Quintal
Maharashtra,Cereals,Wheat,29-07-2021,1456.00,Metric Tonnes,2122.02,Rs./Quintal
Maharashtra,Cereals,Wheat,30-07-2021,1157.00,Metric Tonnes,2209.60,Rs./Quintal
Maharashtra,Cereals,Wheat,31-07-2021,1180.00,Metric Tonnes,2434.57,Rs./Quintal
Maharashtra,Cereals,Wheat,01-08-2021,119.00,Metric Tonnes,1809.87,Rs./Quintal
Maharashtra,Cereals,Wheat,02-08-2021,2109.00,Metric Tonnes,2406.92,Rs./Quintal
Maharashtra,Cereals,Wheat,03-08-2021,2178.00,Metric Tonnes,2454.10,Rs./Quintal
Maharashtra,Cereals,Wheat,04-08-2021,1531.00,Metric Tonnes,2407.18,Rs./Quintal
Maharashtra,Cereals,Wheat,05-08-2021,899.00,Metric Tonnes,2613.23,Rs./Quintal
Maharashtra,Cereals,Wheat,06-08-2021,1777.00,Metric Tonnes,2426.94,Rs./Quintal
Maharashtra,Cereals,Wheat,07-08-2021,1457.00,Metric Tonnes,2548.92,Rs./Quintal
Maharashtra,Cereals,Wheat,08-08-2021,88.00,Metric Tonnes,1667.33,Rs./Quintal
Maharashtra,Cereals,Wheat,09-08-2021,2212.00,Metric Tonnes,2445.37,Rs./Quintal
Maharashtra,Cereals,Wheat,10-08-2021,1895.00,Metric Tonnes,2400.80,Rs./Quintal
Maharashtra,Cereals,Wheat,11-08-2021,1383.00,Metric Tonnes,2180.83,Rs./Quintal
Maharashtra,Cereals,Wheat,12-08-2021,1253.00,Metric Tonnes,2105.69,Rs./Quintal
Maharashtra,Cereals,Wheat,13-08-2021,926.00,Metric Tonnes,2613.40,Rs./Quintal
Maharashtra,Cereals,Wheat,14-08-2021,1165.00,Metric Tonnes,2526.85,Rs./Quintal
Maharashtra,Cereals,Wheat,15-08-2021,48.00,Metric Tonnes,1718.75,Rs./Quintal
Maharashtra,Cereals,Wheat,16-08-2021,1173.00,Metric Tonnes,2692.48,Rs./Quintal
Maharashtra,Cereals,Wheat,17-08-2021,1753.00,Metric Tonnes,2607.31,Rs./Quintal
Maharashtra,Cereals,Wheat,18-08-2021,1261.00,Metric Tonnes,2381.97,Rs./Quintal
Maharashtra,Cereals,Wheat,19-08-2021,816.00,Metric Tonnes,2552.39,Rs./Quintal
Maharashtra,Cereals,Wheat,20-08-2021,1530.00,Metric Tonnes,2366.75,Rs./Quintal
Maharashtra,Cereals,Wheat,21-08-2021,1185.00,Metric Tonnes,2501.96,Rs./Quintal
Maharashtra,Cereals,Wheat,22-08-2021,69.00,Metric Tonnes,1718.30,Rs./Quintal
Maharashtra,Cereals,Wheat,23-08-2021,1692.00,Metric Tonnes,2289.44,Rs./Quintal
Maharashtra,Cereals,Wheat,24-08-2021,1678.00,Metric Tonnes,2509.29,Rs./Quintal
Maharashtra,Cereals,Wheat,25-08-2021,1157.00,Metric Tonnes,2251.00,Rs./Quintal
Maharashtra,Cereals,Wheat,26-08-2021,1606.00,Metric Tonnes,2137.87,Rs./Quintal
Maharashtra,Cereals,Wheat,27-08-2021,1458.00,Metric Tonnes,2085.88,Rs./Quintal
Maharashtra,Cereals,Wheat,28-08-2021,1451.00,Metric Tonnes,2476.87,Rs./Quintal
Maharashtra,Cereals,Wheat,29-08-2021,292.00,Metric Tonnes,1783.62,Rs./Quintal
Maharashtra,Cereals,Wheat,30-08-2021,1761.00,Metric Tonnes,2386.51,Rs./Quintal
Maharashtra,Cereals,Wheat,31-08-2021,962.00,Metric Tonnes,2049.89,Rs./Quintal
Maharashtra,Cereals,Wheat,01-09-2021,2453.00,Metric Tonnes,2483.22,Rs./Quintal
Maharashtra,Cereals,Wheat,02-09-2021,2078.00,Metric Tonnes,2248.08,Rs./Quintal
Maharashtra,Cereals,Wheat,03-09-2021,1974.00,Metric Tonnes,2323.88,Rs./Quintal
Maharashtra,Cereals,Wheat,04-09-2021,1590.00,Metric Tonnes,2470.37,Rs./Quintal
Maharashtra,Cereals,Wheat,05-09-2021,156.00,Metric Tonnes,1828.40,Rs./Quintal
Maharashtra,Cereals,Wheat,06-09-2021,663.00,Metric Tonnes,3056.61,Rs./Quintal
Maharashtra,Cereals,Wheat,07-09-2021,1562.00,Metric Tonnes,2935.90,Rs./Quintal
Maharashtra,Cereals,Wheat,08-09-2021,1753.00,Metric Tonnes,2614.67,Rs./Quintal
Maharashtra,Cereals,Wheat,09-09-2021,1909.00,Metric Tonnes,2237.68,Rs./Quintal
Maharashtra,Cereals,Wheat,10-09-2021,150.00,Metric Tonnes,2065.90,Rs./Quintal
Maharashtra,Cereals,Wheat,11-09-2021,1751.00,Metric Tonnes,2733.60,Rs./Quintal
Maharashtra,Cereals,Wheat,12-09-2021,212.00,Metric Tonnes,1850.32,Rs./Quintal
Maharashtra,Cereals,Wheat,13-09-2021,2366.00,Metric Tonnes,3267.78,Rs./Quintal
Maharashtra,Cereals,Wheat,14-09-2021,2400.00,Metric Tonnes,2544.41,Rs./Quintal
Maharashtra,Cereals,Wheat,15-09-2021,2049.00,Metric Tonnes,2360.34,Rs./Quintal
Maharashtra,Cereals,Wheat,16-09-2021,1801.00,Metric Tonnes,2283.69,Rs./Quintal
Maharashtra,Cereals,Wheat,17-09-2021,1090.00,Metric Tonnes,2665.68,Rs./Quintal
Maharashtra,Cereals,Wheat,18-09-2021,1826.00,Metric Tonnes,2369.80,Rs./Quintal
Maharashtra,Cereals,Wheat,19-09-2021,138.00,Metric Tonnes,1843.88,Rs./Quintal
