,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
Maharashtra,Cereals,Rice,29-05-2021,170.00,Metric Tonnes,3224.51,Rs./Quintal
Maharashtra,Cereals,Rice,30-05-2021,2.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Cereals,Rice,31-05-2021,277.00,Metric Tonnes,3378.42,Rs./Quintal
Maharashtra,Cereals,Rice,01-06-2021,202.00,Metric Tonnes,3615.77,Rs./Quintal
Maharashtra,Cereals,Rice,02-06-2021,210.00,Metric Tonnes,3595.04,Rs./Quintal
Maharashtra,Cereals,Rice,03-06-2021,270.00,Metric Tonnes,3579.04,Rs./Quintal
Maharashtra,Cereals,Rice,04-06-2021,202.00,Metric Tonnes,3434.77,Rs./Quintal
Maharashtra,Cereals,Rice,05-06-2021,224.00,Metric Tonnes,3870.85,Rs./Quintal
Maharashtra,Cereals,Rice,06-06-2021,32.00,Metric Tonnes,3381.25,Rs./Quintal
Maharashtra,Cereals,Rice,07-06-2021,221.00,Metric Tonnes,3269.40,Rs./Quintal
Maharashtra,Cereals,Rice,08-06-2021,385.00,Metric Tonnes,5354.09,Rs./Quintal
Maharashtra,Cereals,Rice,09-06-2021,231.00,Metric Tonnes,3072.58,Rs./Quintal
Maharashtra,Cereals,Rice,10-06-2021,191.00,Metric Tonnes,3661.44,Rs./Quintal
Maharashtra,Cereals,Rice,11-06-2021,249.00,Metric Tonnes,3391.03,Rs./Quintal
Maharashtra,Cereals,Rice,12-06-2021,276.00,Metric Tonnes,3062.69,Rs./Quintal
Maharashtra,Cereals,Rice,13-06-2021,31.00,Metric Tonnes,3991.29,Rs./Quintal
Maharashtra,Cereals,Rice,14-06-2021,362.00,Metric Tonnes,2905.48,Rs./Quintal
Maharashtra,Cereals,Rice,15-06-2021,282.00,Metric Tonnes,3798.20,Rs./Quintal
Maharashtra,Cereals,Rice,16-06-2021,384.00,Metric Tonnes,2875.26,Rs./Quintal
Maharashtra,Cereals,Rice,17-06-2021,346.00,Metric Tonnes,3022.41,Rs./Quintal
Maharashtra,Cereals,Rice,18-06-2021,179.00,Metric Tonnes,3645.64,Rs./Quintal
Maharashtra,Cereals,Rice,19-06-2021,398.00,Metric Tonnes,3090.07,Rs./Quintal
Maharashtra,Cereals,Rice,20-06-2021,2.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Cereals,Rice,21-06-2021,548.00,Metric Tonnes,2747.08,Rs./Quintal
Maharashtra,Cereals,Rice,22-06-2021,240.00,Metric Tonnes,3748.68,Rs./Quintal
Maharashtra,Cereals,Rice,23-06-2021,186.00,Metric Tonnes,3751.24,Rs./Quintal
Maharashtra,Cereals,Rice,24-06-2021,260.00,Metric Tonnes,3746.21,Rs./Quintal
Maharashtra,Cereals,Rice,25-06-2021,357.00,Metric Tonnes,2823.91,Rs./Quintal
Maharashtra,Cereals,Rice,26-06-2021,354.00,Metric Tonnes,4047.60,Rs./Quintal
Maharashtra,Cereals,Rice,27-06-2021,82.00,Metric Tonnes,3875.12,Rs./Quintal
Maharashtra,Cereals,Rice,28-06-2021,222.00,Metric Tonnes,3709.54,Rs./Quintal
Maharashtra,Cereals,Rice,29-06-2021,181.00,Metric Tonnes,3627.33,Rs./Quintal
Maharashtra,Cereals,Rice,30-06-2021,244.00,Metric Tonnes,3596.09,Rs./Quintal
Maharashtra,Cereals,Rice,01-07-2021,207.00,Metric Tonnes,3509.40,Rs./Quintal
Maharashtra,Cereals,Rice,02-07-2021,223.00,Metric Tonnes,3711.19,Rs./Quintal
Maharashtra,Cereals,Rice,03-07-2021,181.00,Metric Tonnes,3661.16,Rs./Quintal
