,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
Maharashtra,Vegetables,Onion,30-08-2021,34265.00,Metric Tonnes,1367.16,Rs./Quintal
Maharashtra,Vegetables,Onion,31-08-2021,15987.00,Metric Tonnes,1311.96,Rs./Quintal
Maharashtra,Vegetables,Onion,01-09-2021,15384.00,Metric Tonnes,1400.03,Rs./Quintal
Maharashtra,Vegetables,Onion,02-09-2021,23875.00,Metric Tonnes,1454.43,Rs./Quintal
Maharashtra,Vegetables,Onion,03-09-2021,23959.00,Metric Tonnes,1306.23,Rs./Quintal
Maharashtra,Vegetables,Onion,04-09-2021,10299.00,Metric Tonnes,1385.32,Rs./Quintal
Maharashtra,Vegetables,Onion,05-09-2021,3402.00,Metric Tonnes,1283.73,Rs./Quintal
Maharashtra,Vegetables,Onion,06-09-2021,13686.00,Metric Tonnes,1380.95,Rs./Quintal
Maharashtra,Vegetables,Onion,07-09-2021,19765.00,Metric Tonnes,1377.14,Rs./Quintal
Maharashtra,Vegetables,Onion,08-09-2021,20904.00,Metric Tonnes,1457.05,Rs./Quintal
Maharashtra,Vegetables,Onion,09-09-2021,28320.00,Metric Tonnes,1437.42,Rs./Quintal
Maharashtra,Vegetables,Onion,10-09-2021,10432.00,Metric Tonnes,1229.91,Rs./Quintal
Maharashtra,Vegetables,Onion,11-09-2021,18470.00,Metric Tonnes,1384.93,Rs./Quintal
Maharashtra,Vegetables,Onion,12-09-2021,4921.00,Metric Tonnes,1207.02,Rs./Quintal
Maharashtra,Vegetables,Onion,13-09-2021,35430.00,Metric Tonnes,1373.17,Rs./Quintal
Maharashtra,Vegetables,Onion,14-09-2021,24550.00,Metric Tonnes,1280.45,Rs./Quintal
Maharashtra,Vegetables,Onion,15-09-2021,26057.00,Metric Tonnes,1368.44,Rs./Quintal
Maharashtra,Vegetables,Onion,16-09-2021,22216.00,Metric Tonnes,1371.63,Rs./Quintal
Maharashtra,Vegetables,Onion,17-09-2021,25007.00,Metric Tonnes,1352.83,Rs./Quintal
Maharashtra,Vegetables,Onion,18-09-2021,14898.00,Metric Tonnes,1409.83,Rs./Quintal
Maharashtra,Vegetables,Onion,19-09-2021,3216.00,Metric Tonnes,1149.17,Rs./Quintal
Maharashtra,Vegetables,Onion,20-09-2021,23413.00,Metric Tonnes,1530.96,Rs./Quintal
Maharashtra,Vegetables,Onion,21-09-2021,22140.00,Metric Tonnes,1537.97,Rs./Quintal
Maharashtra,Vegetables,Onion,22-09-2021,19786.00,Metric Tonnes,1731.17,Rs./Quintal
Maharashtra,Vegetables,Onion,23-09-2021,25651.00,Metric Tonnes,1822.76,Rs./Quintal
Maharashtra,Vegetables,Onion,24-09-2021,21556.00,Metric Tonnes,1802.54,Rs./Quintal
Maharashtra,Vegetables,Onion,25-09-2021,17258.00,Metric Tonnes,1663.70,Rs./Quintal
Maharashtra,Vegetables,Onion,26-09-2021,7356.00,Metric Tonnes,1528.41,Rs./Quintal
Maharashtra,Vegetables,Onion,27-09-2021,24182.00,Metric Tonnes,1670.13,Rs./Quintal
Maharashtra,Vegetables,Onion,28-09-2021,16448.00,Metric Tonnes,1778.01,Rs./Quintal
Maharashtra,Vegetables,Onion,29-09-2021,19401.00,Metric Tonnes,1944.20,Rs./Quintal
Maharashtra,Vegetables,Onion,30-09-2021,21491.00,Metric Tonnes,2165.56,Rs./Quintal
Maharashtra,Vegetables,Onion,01-10-2021,21852.00,Metric Tonnes,2243.98,Rs./Quintal
Maharashtra,Vegetables,Onion,02-10-2021,10763.00,Metric Tonnes,2237.30,Rs./Quintal
Maharashtra,Vegetables,Onion,03-10-2021,5785.00,Metric Tonnes,2225.27,Rs./Quintal
Maharashtra,Vegetables,Onion,04-10-2021,29945.00,Metric Tonnes,2882.83,Rs./Quintal
Maharashtra,Vegetables,Onion,05-10-2021,24467.00,Metric Tonnes,2818.29,Rs./Quintal
Maharashtra,Vegetables,Onion,06-10-2021,18784.00,Metric Tonnes,2736.68,Rs./Quintal
Maharashtra,Vegetables,Onion,07-10-2021,20023.00,Metric Tonnes,2837.56,Rs./Quintal
Maharashtra,Vegetables,Onion,08-10-2021,21217.00,Metric Tonnes,2826.17,Rs./Quintal
Maharashtra,Vegetables,Onion,09-10-2021,16609.00,Metric Tonnes,2761.99,Rs./Quintal
Maharashtra,Vegetables,Onion,10-10-2021,5077.00,Metric Tonnes,2947.53,Rs./Quintal
Maharashtra,Vegetables,Onion,11-10-2021,6867.00,Metric Tonnes,2495.85,Rs./Quintal
Maharashtra,Vegetables,Onion,12-10-2021,26310.00,Metric Tonnes,3312.09,Rs./Quintal
Maharashtra,Vegetables,Onion,13-10-2021,21938.00,Metric Tonnes,3039.08,Rs./Quintal
Maharashtra,Vegetables,Onion,14-10-2021,20060.00,Metric Tonnes,2869.34,Rs./Quintal
Maharashtra,Vegetables,Onion,15-10-2021,8268.00,Metric Tonnes,2638.43,Rs./Quintal
Maharashtra,Vegetables,Onion,16-10-2021,11047.00,Metric Tonnes,2707.35,Rs./Quintal
Maharashtra,Vegetables,Onion,17-10-2021,3431.00,Metric Tonnes,2301.27,Rs./Quintal
Maharashtra,Vegetables,Onion,18-10-2021,30102.00,Metric Tonnes,2647.62,Rs./Quintal
Maharashtra,Vegetables,Onion,19-10-2021,9047.00,Metric Tonnes,2583.12,Rs./Quintal
Maharashtra,Vegetables,Onion,20-10-2021,23727.00,Metric Tonnes,2559.77,Rs./Quintal
Maharashtra,Vegetables,Onion,21-10-2021,23199.00,Metric Tonnes,2283.08,Rs./Quintal
Maharashtra,Vegetables,Onion,22-10-2021,17773.00,Metric Tonnes,2264.54,Rs./Quintal
Maharashtra,Vegetables,Onion,23-10-2021,12103.00,Metric Tonnes,2339.04,Rs./Quintal
Maharashtra,Vegetables,Onion,24-10-2021,6855.00,Metric Tonnes,2083.79,Rs./Quintal
Maharashtra,Vegetables,Onion,25-10-2021,22588.00,Metric Tonnes,2379.73,Rs./Quintal
Maharashtra,Vegetables,Onion,26-10-2021,17288.00,Metric Tonnes,2320.55,Rs./Quintal
Maharashtra,Vegetables,Onion,27-10-2021,17644.00,Metric Tonnes,2371.04,Rs./Quintal
Maharashtra,Vegetables,Onion,28-10-2021,21604.00,Metric Tonnes,2276.25,Rs./Quintal
Maharashtra,Vegetables,Onion,29-10-2021,9953.00,Metric Tonnes,1933.94,Rs./Quintal
Maharashtra,Vegetables,Onion,30-10-2021,12657.00,Metric Tonnes,2162.08,Rs./Quintal
Maharashtra,Vegetables,Onion,31-10-2021,4341.00,Metric Tonnes,1815.47,Rs./Quintal
Maharashtra,Vegetables,Onion,01-11-2021,7749.00,Metric Tonnes,1947.90,Rs./Quintal
Maharashtra,Vegetables,Onion,02-11-2021,2713.00,Metric Tonnes,1984.13,Rs./Quintal
Maharashtra,Vegetables,Onion,03-11-2021,1846.00,Metric Tonnes,2071.29,Rs./Quintal
Maharashtra,Vegetables,Onion,04-11-2021,984.00,Metric Tonnes,1997.92,Rs./Quintal
Maharashtra,Vegetables,Onion,05-11-2021,2880.00,Metric Tonnes,2120.64,Rs./Quintal
Maharashtra,Vegetables,Onion,06-11-2021,2586.00,Metric Tonnes,2116.15,Rs./Quintal
Maharashtra,Vegetables,Onion,07-11-2021,2259.00,Metric Tonnes,2098.44,Rs./Quintal
Maharashtra,Vegetables,Onion,08-11-2021,12720.00,Metric Tonnes,2490.20,Rs./Quintal
Maharashtra,Vegetables,Onion,09-11-2021,17436.00,Metric Tonnes,2573.93,Rs./Quintal
Maharashtra,Vegetables,Onion,10-11-2021,18542.00,Metric Tonnes,2712.52,Rs./Quintal
Maharashtra,Vegetables,Onion,11-11-2021,27300.00,Metric Tonnes,2529.65,Rs./Quintal
Maharashtra,Vegetables,Onion,12-11-2021,23656.00,Metric Tonnes,2221.24,Rs./Quintal
Maharashtra,Vegetables,Onion,13-11-2021,16985.00,Metric Tonnes,2215.70,Rs./Quintal
Maharashtra,Vegetables,Onion,14-11-2021,7610.00,Metric Tonnes,1970.19,Rs./Quintal
Maharashtra,Vegetables,Onion,15-11-2021,28474.00,Metric Tonnes,2026.07,Rs./Quintal
Maharashtra,Vegetables,Onion,16-11-2021,17286.00,Metric Tonnes,1960.65,Rs./Quintal
Maharashtra,Vegetables,Onion,17-11-2021,19443.00,Metric Tonnes,1964.45,Rs./Quintal
Maharashtra,Vegetables,Onion,18-11-2021,23001.00,Metric Tonnes,1863.28,Rs./Quintal
Maharashtra,Vegetables,Onion,19-11-2021,12804.00,Metric Tonnes,1719.39,Rs./Quintal
Maharashtra,Vegetables,Onion,20-11-2021,14602.00,Metric Tonnes,2036.93,Rs./Quintal
Maharashtra,Vegetables,Onion,21-11-2021,4982.00,Metric Tonnes,1862.10,Rs./Quintal
Maharashtra,Vegetables,Onion,22-11-2021,23150.00,Metric Tonnes,2263.63,Rs./Quintal
Maharashtra,Vegetables,Onion,23-11-2021,17320.00,Metric Tonnes,2033.06,Rs./Quintal
Maharashtra,Vegetables,Onion,24-11-2021,21342.00,Metric Tonnes,2096.30,Rs./Quintal
